#deck:DL Pet::01 Big picture
#notetype:Basic
#columns:Front	Back	Tags
Какой порядок слоёв при сборке DL-проекта с нуля? (5 шагов)	1) configs/default.yaml<br>2) models/ + build_model<br>3) data/ + build_dataloader<br>4) engine/ train + eval<br>5) scripts/train.py склеивает	dl::architecture dl::reproduce
Мнемоника «одна фраза» для структуры репозитория	Config → Data → Model → Engine → Scripts	dl::architecture
Что НЕ должно жить в scripts/train.py?	Детали батча (forward/loss/backward), аугментации, архитектура сети — только склейка	dl::architecture dl::interview
Три уровня цикла в обучении — что где?	<strong>Script</strong>: epoch, checkpoint<br><strong>Engine</strong>: проход по DataLoader<br><strong>Model</strong>: только forward(x)	dl::architecture
Зачем выносить train/eval в engine/, а не в train.py?	Переиспользование в train.py, validate.py, test.py без копипасты цикла	dl::interview
#deck:DL Pet::02 Layers (what / why)
#notetype:Basic
configs/ — зачем отдельно?	Гиперпараметры и пути вне кода: воспроизводимость, diff экспериментов в git	dl::layers
scripts/ — роль?	Entry points: argparse, load config, device, вызов engine, save checkpoint	dl::layers
dl_pet/data/ — роль?	Dataset, transforms, DataLoader; модель не знает откуда картинки	dl::layers
dl_pet/models/ — роль?	nn.Module + forward; build_model(cfg) — фабрика по имени из конфига	dl::layers
dl_pet/engine/ — роль?	train_one_epoch, evaluate, метрики; один epoch / один eval pass	dl::layers
dl_pet/utils/ — примеры?	seed (детерминизм), io (save/load checkpoint)	dl::layers
#deck:DL Pet::03 Files map
#notetype:Basic
config.py — одна функция, зачем?	load_config(path) → dict из YAML	dl::files
datamodule.py — что экспортирует?	build_transforms, build_dataloader, mvtec_split_root (путь к split)	dl::files
model.py — два ключевых элемента?	Класс сети (SimpleCNN) + build_model(cfg)	dl::files
train_loop.py — одна ответственность?	Один training epoch: forward → loss → backward → optimizer.step	dl::files
eval_loop.py — отличие от train?	model.eval(), torch.no_grad(), без backward и optimizer	dl::files
metrics.py — что внутри?	AverageMeter, accuracy (или другие метрики)	dl::files
utils/io.py — что в checkpoint?	epoch, model.state_dict, optimizer.state_dict, metrics dict	dl::files
#deck:DL Pet::04 Reproduce from memory
#notetype:Basic
Шаг 1 воспроизведения с нуля — что пишешь первым?	configs/default.yaml: seed, data paths, batch, lr, epochs, checkpoint_dir	dl::reproduce
Шаг 2 — models/	Класс nn.Module + build_model(cfg) по cfg["model"]["name"]	dl::reproduce
Шаг 3 — data/	transforms + ImageFolder (или свой Dataset) + build_dataloader(...)	dl::reproduce
Шаг 4 — engine/	train_one_epoch(model, loader, criterion, optimizer, device)<br>evaluate(model, loader, criterion, device)	dl::reproduce
Шаг 5 — scripts/train.py	for epoch: train_one_epoch → evaluate → save last/best	dl::reproduce
validate.py vs test.py — общее и разное?	<strong>Общее</strong>: load ckpt → evaluate()<br><strong>Разное</strong>: root split (val vs test), смысл на собесе	dl::reproduce dl::interview
#deck:DL Pet::05 Train script flow
#notetype:Basic
train.py — порядок действий в main (7 пунктов)	1) load_config<br>2) set_seed<br>3) device<br>4) dataloaders<br>5) model + loss + optimizer<br>6) loop epochs: train → eval<br>7) save_checkpoint	dl::train-flow
Где выбирается cuda vs cpu?	В script: torch.device(cfg["device"] if cuda else "cpu")	dl::train-flow
Когда сохранять best.pt?	Когда val metric (напр. acc) лучше предыдущего best	dl::train-flow
last.pt vs best.pt?	last — каждый epoch; best — лучший по val метрике	dl::train-flow
#deck:DL Pet::06 One batch (engine detail)
#notetype:Basic
Один training batch — 6 шагов	images, targets → device<br>zero_grad<br>forward → loss<br>backward<br>optimizer.step<br>update metrics	dl::batch
Почему zero_grad перед forward?	Иначе градиенты накапливаются с прошлого шага	dl::batch dl::interview
eval: зачем model.eval()?	Dropout/BatchNorm в inference-режиме	dl::batch dl::interview
eval: зачем @torch.no_grad()?	Не строить граф, меньше памяти, быстрее	dl::batch dl::interview
#deck:DL Pet::07 Interview one-liners
#notetype:Basic
Собес: «Почему YAML, а не константы в коде?»	Один код — много экспериментов; воспроизводимость; удобный diff	dl::interview
Собес: «Почему build_model(cfg)?»	Смена архитектуры без правок train.py — только конфиг и фабрика	dl::interview
Собес: «Где device?»	Один раз в script; в engine передаётся параметром	dl::interview
Собес: «Что такое datamodule?»	Не обязательно Lightning — просто модуль: data + loaders + transforms	dl::interview
Собес: абзац про архитектуру (шаблон)	Конфиг отделён. Scripts — entry. Data — загрузка. Model — forward. Engine — циклы. Utils — seed/ckpt. Легко менять эксперименты и переиспользовать eval.	dl::interview
#deck:DL Pet::08 MVTec / AD (наш проект)
#notetype:Basic
MVTec: типичный путь train split	mvtec_split_root(root, category, "train") → good images	dl::ad
MVTec: почему val часто на test split?	В AD мало разметки; test = good + anomaly types	dl::ad
AD на собесе: чем train отличается от classification?	Train часто только норма (good); метрики AUROC/F1, не только accuracy	dl::ad
Что поменять при переходе на PatchCore, не ломая структуру?	models/ + metrics.py + возможно data/; scripts/engine те же роли	dl::ad dl::architecture
#deck:DL Pet::09 Cloze-style (заполни пропуск)
#notetype:Basic
Конфиг грузится в {{c1::scripts}} через {{c2::load_config}}, пакет {{c3::dl_pet/config.py}}	scripts · load_config · dl_pet/config.py	dl::cloze
Один epoch обучения — файл {{c1::engine/train_loop.py}}, функция {{c2::train_one_epoch}}	train_loop.py · train_one_epoch	dl::cloze
Чекпоинт пишет {{c1::utils/io.py}}: ключи model, optimizer, epoch, {{c2::metrics}}	io.py · metrics	dl::cloze
DataLoader собирает {{c1::data/datamodule.py}}; модель в {{c2::models/model.py}}	datamodule.py · models/model.py	dl::cloze
#deck:DL Pet::10 Reverse cards (ответ → вопрос)
#notetype:Basic
Ответ: «Переиспользуется в train и validate без дублирования»	Вопрос: зачем engine/eval_loop.py?	dl::reverse
Ответ: «ImageFolder + transforms + DataLoader»	Вопрос: что делает datamodule?	dl::reverse
Ответ: «argparse + glue, без forward внутри»	Вопрос: роль scripts/train.py?	dl::reverse
Ответ: «yaml.safe_load»	Вопрос: как реализован load_config?	dl::reverse
